year,total,x5yr,x5yr_cv
1909,,,
1910,,,
1911,,,
1912,,,
1913,,,
1914,,,
1915,,,
1916,,,
1917,,,
1918,,,
1919,,,
1920,,,
1921,,,
1922,,,
1923,,,
1924,,,
1925,,,
1926,,,
1927,,,
1928,,,
1929,,,
1930,,,
1931,,,
1932,,,
1933,,,
1934,,,
1935,,,
1936,,,
1937,,,
1938,,,
1939,,,
1940,,,
1941,,,
1942,,,
1943,,,
1944,,,
1945,,,
1946,0.2,0.966666667,1.556315048
1947,0,7.825,1.759943624
1948,2.7,6.26,1.985514405
1949,28.4,6.94,1.744039743
1950,0,11.78,1.137812597
1951,3.6,12.7,1.005287034
1952,24.2,8.82,1.051320629
1953,7.3,11.06,0.71008447
1954,9,11.34,0.664881946
1955,11.2,10.6,0.5644238
1956,5,9.94,0.662900769
1957,20.5,8.14,0.981633213
1958,4,5.9,1.436184418
1959,0,4.9,1.814491162
1960,0,6.46,1.908851392
1961,0,5.92,2.115448985
1962,28.3,6.02,2.070803056
1963,1.3,7.42,1.618019808
1964,0.5,7.98,1.457717237
1965,7,2.42,1.126895189
1966,2.8,3.26,0.900242731
1967,0.5,3.36,0.84037206
1968,5.5,1.96,1.144609626
1969,1,5.4,1.565061344
1970,0,9.9,1.095156341
1971,20,8.9,1.298470058
1972,23,8.7,1.348800498
1973,0.5,8.76,1.333287397
1974,0,5.28,1.886129732
1975,0.3,5.48,1.898485632
1976,2.6,5.38,1.945307375
1977,24,15.18,1.409691181
1978,0,18.9,1.204568753
1979,49,18.25,1.282999394
1980,,,
1981,0,21.16666667,1.189184943
1982,,,
1983,14.5,10.65,1.266933109
1984,0,10.65,1.266933109
1985,28.1,10.65,1.266933109
1986,0,11.025,1.238582435
1987,,,
1988,16,4.125,1.920042342
1989,0,4.875,1.545000349
1990,0.5,3.9,1.763461422
1991,3,0.7,1.862629259
1992,0,0.8,1.56873755
1993,0,0.7,1.862629259
1994,0.5,1.5,2.054804668
1995,0,1.5,2.054804668
1996,7,1.5,2.054804668
1997,0,1.6,1.905993835
1998,0,1.6,1.905993835
1999,1,2.6,2.027911743
2000,0,2.6,2.027911743
2001,12,2.6,2.027911743
2002,0,2.4,2.236067977
2003,0,2.4,2.236067977
2004,0,0,
2005,0,0,
2006,0,0,
2007,0,0,
2008,,,
2009,0,0,
2010,0,0,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
