years,annualgrowingseason
1944,
1945,
1946,
1947,10.8
1948,48.4
1949,95.5
1950,44.1
1951,
1952,66.7
1953,43
1954,75.7
1955,56.7
1956,16.7
1957,36
1958,
1959,34.9
1960,31.7
1961,7
1962,83.1
1963,37.3
1964,73.4
1965,16.1
1966,22.5
1967,9
1968,10
1969,
1970,5
1971,10
1972,34.5
1973,56.8
1974,58.6
1975,33
1976,30.6
1977,73
1978,
1979,
1980,23.8
1981,24.1
1982,68.9
1983,37
1984,21.6
1985,16.8
1986,44.5
1987,62.4
1988,14.5
1989,26.3
1990,46.5
1991,45
1992,39.2
1993,42.4
1994,29
1995,47.1
1996,21
1997,30
1998,
1999,
2000,28.3
2001,59.8
2002,10
2003,33
2004,28.6
2005,8.6
2006,57
2007,22.1
2008,32.6
2009,46.7
2010,30.7
2011,
2012,29.2
2013,45.3
2014,
2015,1.1
2016,
2017,
2018,
2019,
2020,
2021,
