year,total,x5yr,x5yr_cv
1949,82.5,58.75,0.571703355
1950,,,
1951,35,58.75,0.571703355
1952,,,
1953,,,
1954,,,
1955,,,
1956,37,35,0.080812204
1957,33,28.66666667,0.388970435
1958,,,
1959,16,17.66666667,0.824811056
1960,,,
1961,4,19.75,1.11880404
1962,52,21.35,1.0288363
1963,7,21.35,1.0288363
1964,22.4,27.13333333,0.842887934
1965,,,
1966,,,
1967,0,5.5,1.414213562
1968,11,5.5,1.414213562
1969,,,
1970,,,
1971,,,
1972,,,
1973,,,
1974,,,
1975,,,
1976,,,
1977,53.5,53.5,#DIV/0!
1978,,,
1979,,,
1980,,,
1981,,,
1982,,,
1983,0,0,
1984,0,0,
1985,,,
1986,,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,0,0,
1992,,,
1993,,,
1994,,,
1995,,,
1996,0,0,
1997,0,0,
1998,0,0,
1999,0,0,
2000,,,
2001,,,
2002,0,0,
2003,0,0,
2004,,,
2005,0,0,
2006,,,
2007,0,0,
2008,0,0,
2009,0,0,
2010,0,0,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
