years,annualgrowingseason
1903,
1904,
1905,
1906,
1907,
1908,
1909,
1910,
1911,
1912,
1913,
1914,
1915,
1916,
1917,
1918,
1919,
1920,
1921,
1922,
1923,
1924,
1925,
1926,
1927,
1928,
1929,
1930,
1931,
1932,
1933,
1934,
1935,
1936,0
1937,12
1938,0
1939,3
1940,0
1941,0
1942,0
1943,0
1944,4
1945,0
1946,0
1947,0
1948,0
1949,18.4
1950,0
1951,0
1952,0
1953,3.5
1954,0
1955,2.5
1956,0
1957,4
1958,0
1959,0
1960,0
1961,0
1962,4
1963,0
1964,0
1965,0
1966,10.3
1967,0.2
1968,0
1969,4.5
1970,0
1971,0
1972,0.6
1973,0
1974,19
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,
2012,
2013,
2014,
2015,
2016,
2017,
2018,
2019,
2020,
2021,
