year,mean,max,min
1943,,,
1944,,,
1945,,,
1946,51.57181818,68.10818182,35.08363636
1947,52.57083333,68.61416667,36.525
1948,51.3425,67.55416667,35.0725
1949,50.27666667,65.62916667,35.00083333
1950,53.54181818,70.32454545,36.71545455
1951,,,
1952,,,
1953,53.485,69.731,37.181
1954,52.47727273,69.37090909,35.62818182
1955,51.86363636,68.45090909,35.33636364
1956,52.945,70.0325,35.81583333
1957,52.79545455,68.54727273,37.05454545
1958,53.455,70.88916667,35.93666667
1959,54.25166667,72.16416667,36.29916667
1960,53.89666667,70.835,36.7975
1961,54.11166667,70.21333333,38.01583333
1962,53.25916667,69.13,36.72583333
1963,51.64333333,67.35416667,35.66166667
1964,49.60181818,65.55818182,33.75818182
1965,49.94916667,66.35916667,33.5275
1966,50.95833333,69.27166667,32.79
1967,52.49,68.38454545,35.5
1968,51.68833333,68.4625,35.03166667
1969,51.25166667,67.01916667,35.48416667
1970,53.00666667,68.02916667,37.99
1971,51.44454545,66.48916667,35.86545455
1972,52.38333333,68.02916667,36.7575
1973,51.80166667,66.74833333,36.8825
1974,52.97583333,68.26833333,37.69916667
1975,51.98833333,67.045,36.89916667
1976,52.88333333,67.64833333,38.07166667
1977,53.80583333,68.42416667,39.19333333
1978,52.52333333,66.45833333,38.57333333
1979,52.73083333,67.3275,38.15916667
1980,53.4575,67.88166667,39.01
1981,55.28166667,70.19583333,40.3675
1982,51.42083333,66.11416667,36.97833333
1983,52.005,66.25333333,37.77
1984,53.27083333,68.04666667,38.45666667
1985,52.22083333,66.245,38.165
1986,53.155,66.45416667,39.67
1987,51.70916667,65.0525,38.37583333
1988,53.30583333,67.46666667,39.165
1989,53.6075,68.00166667,39.1875
1990,51.96666667,66.56083333,37.59
1991,51.98083333,66.37833333,37.62416667
1992,53.72090909,67.65363636,39.80545455
1993,51.77166667,65.9,37.665
1994,52.3375,66.62416667,38.1225
1995,53.36666667,67.37083333,39.3425
1996,54.50416667,68.29,40.77083333
1997,53.50666667,67.355,39.59416667
1998,,,
1999,54.20909091,69.63363636,38.77727273
2000,54.075,69.56166667,38.72166667
2001,54.6175,69.58416667,39.60166667
2002,55.4775,71.075,39.895
2003,55.78083333,70.705,40.70333333
2004,54.06666667,69.02083333,39.02333333
2005,53.83666667,68.53916667,39.10333333
2006,54.2725,69.42583333,39.10666667
2007,55.01833333,70.715,39.32166667
2008,55.215,69.90666667,40.555
2009,54.24083333,68.79583333,39.70416667
2010,53.01916667,67.3775,38.6525
2011,53.445,67.8125,39.075
2012,55.34166667,69.50083333,41.1825
2013,55.65,69.05,42.25166667
2014,58.01666667,71.06916667,44.96333333
2015,55.20083333,68.20166667,42.19083333
2016,54.97916667,68.3425,41.61583333
2017,56.01833333,69.32583333,42.71
2018,55.85166667,69.44166667,42.26166667
2019,53.42,66.5575,40.26583333
2020,,,
