year,mean,max,min
1948,,,
1949,53.49416667,61.47666667,45.52416667
1950,57.03583333,65.38083333,48.69166667
1951,54.77916667,63.1175,46.44166667
1952,53.65166667,61.72083333,45.58
1953,55.33416667,63.74416667,46.86416667
1954,57.1025,65.35916667,48.85416667
1955,54.34833333,62.66416667,46.01833333
1956,55.97166667,64.83833333,47.105
1957,54.22833333,62.49666667,45.95833333
1958,56.41,65.2925,47.525
1959,57.6475,66.73583333,48.485
1960,58.13090909,67.22181818,49.07636364
1961,55.95333333,65.2825,46.62416667
1962,55.31916667,64.53666667,46.06916667
1963,53.86,63.2425,44.47916667
1964,53.2,62.4275,43.915
1965,53.38166667,61.85833333,44.9475
1966,54.93083333,64.79666667,44.99
1967,54.84083333,63.30583333,46.3925
1968,55.34666667,63.67583333,47.065
1969,54.845,63.74333333,45.865
1970,55.7675,64.47583333,47.0625
1971,54.63333333,63.36083333,45.92666667
1972,56.0325,65.1675,46.83833333
1973,54.49636364,62.93454545,46.06
1974,56.19333333,65.08083333,47.28
1975,55.07666667,64.07333333,46.03666667
1976,55.74666667,64.9075,46.44083333
1977,57.115,65.35416667,48.85583333
1978,,64.47166667,
1979,56.31,65.52166667,47.0425
1980,56.7825,66.08416667,47.50916667
1981,58.04583333,67.30916667,48.78333333
1982,53.71636364,62.33909091,45.18
1983,54.80416667,63.305,46.35416667
1984,57.38416667,66.9875,47.80916667
1985,57.01166667,66.56166667,47.45333333
1986,,,
1987,,,
1988,58.28166667,67.07416667,48.94583333
1989,58.53666667,67.32166667,49.22083333
1990,57.55,66.61416667,48.00583333
1991,56.92416667,65.62333333,47.86083333
1992,57.40416667,65.83,48.68
1993,57.40583333,66.15666667,48.25166667
1994,57.49583333,65.98916667,48.4925
1995,58.01083333,66.43166667,49.43083333
1996,59.49,67.86583333,50.83333333
1997,58.8775,67.37666667,49.975
1998,55.055,63.15083333,46.46916667
1999,58.69333333,67.57,49.1725
2000,58.22083333,67.29333333,48.86166667
2001,58.19666667,66.47,49.575
2002,58.39833333,66.435,50.045
2003,61.09909091,70.63,51.35545455
2004,58.796,67.01818182,48.53181818
2005,58.71,69.19181818,48.31636364
2006,57.5275,67.95916667,47.29833333
2007,58.77583333,69.60666667,48.09583333
2008,59.20416667,69.77,48.58666667
2009,58.12583333,68.71166667,47.61916667
2010,56.45916667,66.5025,46.30666667
2011,56.5675,66.38916667,46.725
2012,59.06,69.47083333,48.64583333
2013,58.81083333,69.4725,48.14833333
2014,60.76166667,71.5125,50.01083333
2015,59.27416667,69.6525,48.89833333
2016,59.92833333,70.39,49.33416667
2017,59.64545455,67.40363636,51.81
