year,total,x5yr,5yr_cv
1903,,,
1904,,,
1905,,,
1906,,,
1907,,,
1908,,,
1909,,,
1910,,,
1911,,,
1912,,,
1913,,,
1914,,,
1915,,,
1916,,,
1917,,,
1918,,,
1919,,,
1920,,,
1921,,,
1922,,,
1923,,,
1924,,,
1925,,,
1926,,,
1927,,,
1928,,,
1929,,,
1930,,,
1931,,,
1932,,,
1933,,,
1934,,,
1935,0,4,1.732050808
1936,0,3,2
1937,12,3,1.732050808
1938,0,3,1.732050808
1939,3,3.75,1.514375559
1940,0,0.75,2
1941,,,
1942,0,1,2
1943,0,1,2
1944,4,0.8,2.236067977
1945,0,0.8,2.236067977
1946,0,0.8,2.236067977
1947,0,3.68,2.236067977
1948,0,3.68,2.236067977
1949,18.4,3.68,2.236067977
1950,0,3.68,2.236067977
1951,0,4.38,1.822512806
1952,0,0.875,2
1953,3.5,1.5,1.186342028
1954,,,
1955,2.5,2.5,0.711805217
1956,4,1.625,1.214637875
1957,0,1.3,1.42878274
1958,0,0.8,2.236067977
1959,0,0,
1960,0,0.8,2.236067977
1961,0,0.8,2.236067977
1962,4,0.8,2.236067977
1963,0,2.8,1.564921593
1964,0,2.9,1.485162446
1965,10,2.1,2.105494378
1966,0.5,2.9,1.485162446
1967,0,3,1.409294544
1968,4,1,1.695582496
1969,0.5,1.02,1.655673085
1970,0,1.02,1.655673085
1971,0.6,0.22,1.378704626
1972,0,3.92,2.151525228
1973,0,3.92,2.151525228
1974,19,3.8,2.236067977
1975,0,3.8,2.236067977
1976,0,3.8,2.236067977
1977,0,0,
1978,0,0,
1979,0,0,
1980,0,0,
1981,0,0,
1982,0,0,
1983,0,0,
1984,0,0,
1985,,,
1986,0,0,
1987,0,0,
1988,0,0,
1989,0,0,
1990,0,0,
1991,0,0,
1992,0,0,
1993,0,0,
1994,0,0,
1995,0,0,
1996,0,0,
1997,0,0,
1998,0,0,
1999,0,0,
2000,0,0,
2001,0,0,
2002,0,0,
2003,0,0,
2004,0,0,
2005,0,0,
2006,0,0,
2007,0,0,
2008,0,0,
2009,0,0,
2010,0,0,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
