year,mean,max,min
1893,58.96,71.29,46.63818182
1894,,,
1895,,,
1896,,,
1897,,,
1898,,,
1899,,,
1900,,,
1901,,,
1902,,,
1903,,,
1904,,,
1905,,,
1906,,,
1907,,,
1908,,,
1909,60.96583333,74.87166667,47.06333333
1910,62.80083333,77.6375,47.94
1911,59.8925,74.01416667,45.85166667
1912,60.26333333,74.76,45.7775
1913,60.25416667,74.35583333,46.1375
1914,62.25166667,76.08583333,48.415
1915,60.91833333,74.88166667,46.98166667
1916,59.69083333,73.30583333,46.1075
1917,60.98333333,75.9825,45.98333333
1918,61.5075,75.27833333,47.71083333
1919,60.87,75.945,45.655
1920,60.77333333,74.54333333,47.00166667
1921,61.5825,75.28,47.86
1922,61.0325,75.00166667,47.08166667
1923,61.90583333,75.87416667,47.8425
1924,62.53666667,76.45083333,48.57583333
1925,63.12833333,76.28416667,50
1926,64.27083333,77.58,51.03416667
1927,62.81916667,76.13333333,49.48666667
1928,63.54333333,77.955,49.12
1929,63.75,77.82583333,49.67083333
1930,63.1225,77.27583333,48.94
1931,64.49916667,78.1425,50.85833333
1932,61.99083333,75.87916667,48.10416667
1933,61.6275,75.94,47.31583333
1934,64.52166667,78.3825,50.67416667
1935,62.12166667,75.49833333,48.74666667
1936,63.98666667,77.1125,50.86
1937,62.52166667,75.5325,49.4975
1938,63.29166667,76.34416667,50.23166667
1939,63.45083333,76.16583333,50.73666667
1940,63.765,76.1775,51.35083333
1941,62.5,73.98333333,51.01833333
1942,62.35416667,74.82916667,49.8375
1943,63.3025,75.89166667,50.7125
1944,61.31166667,73.40833333,49.2125
1945,62.39416667,74.64666667,50.14166667
1946,62.86416667,75.835,49.89416667
1947,63.47583333,76.6025,50.34833333
1948,61.44416667,74.78583333,48.10416667
1949,61.99666667,74.5625,49.42833333
1950,62.88833333,75.39083333,50.38416667
1951,62.2325,74.675,49.78833333
1952,61.925,74.09416667,49.75416667
1953,63.26416667,76.09916667,50.43
1954,63.52583333,75.75416667,51.29833333
1955,62.3775,74.38166667,50.3725
1956,63.5625,76.63916667,50.48666667
1957,64.34166667,76.35166667,52.33
1958,65.64083333,78.34166667,52.9425
1959,66.285,79.06166667,53.50916667
1960,64.9225,77.95416667,51.89
1961,64.83666667,77.96,51.71166667
1962,63.47083333,76.39916667,50.54583333
1963,64.34666667,76.80666667,51.89
1964,63.4025,76.1925,50.61
1965,63.675,75.78583333,51.56166667
1966,64.89583333,77.68083333,52.11333333
1967,65.02166667,77.58333333,52.46083333
1968,64.78416667,77.61166667,51.95666667
1969,64.15083333,76.47833333,51.83083333
1970,64.7325,78.17666667,51.28666667
1971,64.23916667,77.20083333,51.27416667
1972,65.16,78.4925,51.825
1973,64.51636364,77.30181818,51.82363636
1974,64.56583333,77.15333333,51.98333333
1975,63.01,75.71833333,50.33
1976,64.85583333,77.75916667,51.9675
1977,65.15916667,77.62833333,52.615
1978,65.48090909,77.82636364,53.1
1979,65.10454545,78.27454545,51.94818182
1980,65.67416667,78.09333333,53.27916667
1981,66.48,79.05166667,53.88916667
1982,64.06083333,76.17,51.97333333
1983,64.80666667,76.93666667,52.66666667
1984,66.70166667,79.21333333,54.24
1985,65.09166667,78.12,52.08166667
1986,65.9975,78.88,53.08833333
1987,65.24083333,77.735,52.73833333
1988,65.895,79.7475,52.06083333
1989,65.26083333,79.76416667,50.725
1990,65.59333333,80.43416667,50.76583333
1991,66.25916667,79.615,52.925
1992,66.715,79.20416667,54.2
1993,65.825,78.18416667,53.47083333
1994,65.22,78.81333333,51.60583333
1995,66.02416667,79.06166667,52.99333333
1996,66.395,80.1325,52.63666667
1997,67.38,80.62916667,54.12
1998,64.75916667,77.11166667,52.4475
1999,65.48166667,79.18,51.7825
2000,66.89333333,80.22916667,53.53916667
2001,65.63166667,78.7025,52.56833333
2002,65.79,78.08416667,53.455
2003,67.015,77.49083333,56.53333333
2004,66.38833333,76.84166667,55.905
2005,66.56166667,76.92166667,56.205
2006,66.665,77.43583333,55.91583333
2007,66.38333333,77.19416667,55.615
2008,67.5475,78.70166667,56.40333333
2009,67.55416667,78.9775,56.14083333
2010,66.30333333,77.5475,55.03083333
2011,66.12083333,77.47916667,54.73666667
2012,68.20333333,79.7675,56.6375
2013,67.95,79.75,56.15
2014,70.43666667,82.27833333,58.59666667
2015,69.33,81.145,57.48333333
2016,67.27583333,80.01583333,54.535
2017,67.48666667,80.17333333,55.015
2018,66.97,79.36666667,54.73166667
2019,65.045,76.8625,53.22916667
2020,,,
